snippet,reference_mask_file,reference_model,target_model,prior,active_heads,inactive_heads,ref_active_mean,target_active_mean,delta_active,ref_inactive_mean,target_inactive_mean,delta_inactive,target_minus_ref_gap
Ackerman,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-Ackerman-20260214-182442.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.0002743968476579539,0.00011291763695453483,-0.00016147921070341908,2.095316690408841e-06,4.238778788197768e-06,2.1434620977889273e-06,-0.00016362267280120802
ArrayAverage,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-ArrayAverage-20260214-183807.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.0009174059359793318,0.0002615758936599377,-0.0006558300423193941,7.039525579144061e-06,7.301691936475781e-06,2.621663573317206e-07,-0.0006560922086767259
BinToDecimal,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-BinToDecimal-20260214-185145.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.0005548530907617533,0.00010553982701821951,-0.00044931326374353375,6.911762534645418e-06,1.6814824513959029e-06,-5.230280083249515e-06,-0.00044408298366028424
BinarySearch,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-BinarySearch-20260214-190434.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.0001551286222820636,4.4573565079808475e-05,-0.00011055505720225511,1.3335654703716903e-06,6.109996723796239e-07,-7.225657979920664e-07,-0.00010983249140426305
BinomialCoefficient,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-BinomialCoefficient-20260214-191711.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.0057803473027888685,0.03998330875765532,0.034202961454866454,0.000722543314016851,0.005301131980018171,0.004578588666001321,0.029624372788865132
BogoSort,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-BogoSort-20260214-193005.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.003921569383237511,0.03282906326785451,0.028907493884616997,0.0004901960910501657,0.003441505867969912,0.0029513097769197465,0.02595618410769725
CheckIfLettersOnly,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-CheckIfLettersOnly-20260214-194358.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.005235602846369147,0.03373222894151695,0.028496626095147803,0.0006544502557517262,0.004594217045431916,0.00393976678968019,0.024556859305467613
ContainsSubstring,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-ContainsSubstring-20260214-195620.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.004098361416254193,0.030753811821341515,0.026655450405087322,0.0005122950945709211,0.0035820572478691623,0.003069762153298241,0.02358568825178908
DropNumber,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-DropNumber-20260214-200917.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.003610108789871447,0.026346629252657294,0.022736520462785847,0.0004512635259743547,0.003485137505809713,0.003033873979835358,0.01970264648295049
DumpSorting,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-DumpSorting-20260214-202256.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.003048780810786411,0.022324463645309267,0.019275682834522856,0.00038109753677417757,0.0029794526886496773,0.0025983551518754997,0.016677327682647358
GreatestCommonDivisor,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-GreatestCommonDivisor-20260214-203700.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.004329004761530086,0.037766076158732176,0.03343707139720209,0.0005411255309203019,0.00405902528728197,0.003517899756361668,0.02991917164084042
HIndex,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-HIndex-20260214-204900.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.0046296302461996675,0.03788207774050534,0.03325244749430567,0.0005787036928571373,0.004105218565172121,0.0035265148723149834,0.029725932621990688
HeightOfTree,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-HeightOfTree-20260214-210043.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,7.144995765884232e-05,1.0198731296651165e-05,-6.125122636219116e-05,9.83317591054491e-07,1.3547417059534192e-07,-8.478434204591492e-07,-6.040338294173201e-05
InsertSort,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-InsertSort-20260214-211303.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.0036101087025599554,0.027206532163134733,0.023596423460574778,0.0004512635241553653,0.0033517307810650254,0.00290046725690966,0.020695956203665117
IsAnagram,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-IsAnagram-20260214-212423.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.0036101088189752772,0.02646121745056007,0.022851108631584793,0.00045126352839967393,0.0033359046223390746,0.002884641093939401,0.019966467537645395
IsPrime,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-IsPrime-20260214-213606.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.007751938828732818,0.0500057259487221,0.04225378711998928,0.000968992217167397,0.006551276402712074,0.005582284185544677,0.03667150293444461
LengthOfLast,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-LengthOfLast-20260214-214710.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.004310345422709361,0.029849474587621216,0.025539129164911856,0.000538793099015796,0.003964552171318518,0.003425759072302722,0.022113370092609132
MedianOnSorted,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-MedianOnSorted-20260214-215849.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.0060240974125918,0.040669276098924456,0.034645178686332656,0.0007530120571270041,0.005306862513463753,0.004553850456336749,0.030091328229995908
Palindrome,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-Palindrome-20260214-221000.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.007246377557748929,0.052320800023153424,0.045074422465404496,0.0009057970904298903,0.006055980705338193,0.005150183614908303,0.039924238850496195
PermuteString,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-PermuteString-20260214-222204.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.0033783789112931117,0.026080687604007835,0.022702308692714723,0.0004222972987311853,0.0032303888207751326,0.002808091522043947,0.019894217170670775
Power,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-Power-20260214-223555.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.006369427544996142,0.04542486067088536,0.039055433125889216,0.0007961783400484516,0.005378532779143933,0.004582354439095481,0.03447307868679373
RabbitTortoise,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-RabbitTortoise-20260214-224737.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.004926108871586621,0.03484037667658413,0.029914267804997507,0.0006157635204241766,0.004421286620575407,0.0038055231001512305,0.02610874470484628
Rectangle,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-Rectangle-20260214-230124.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.00395256991032511,0.029170323599828407,0.025217753689503297,0.0004940711520854771,0.0037320532799296306,0.0032379821278441536,0.021979771561659145
RectanglePower,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-RectanglePower-20260214-231504.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.0007675787810512702,0.0002057828216166513,-0.0005617959594346189,3.5053107375337955e-06,3.883562202159283e-06,3.782514646254876e-07,-0.0005621742108992444
RemoveDoubleChar,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-RemoveDoubleChar-20260214-232652.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.004464286466827616,0.037527813110500574,0.03306352664367296,0.000558035728924248,0.004023654410637642,0.003465618681713394,0.029597907961959564
ReverseArray,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-ReverseArray-20260214-233950.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.005813954136101529,0.03826388805464376,0.03244993391854223,0.0007267441602986461,0.005379927075571692,0.004653182915273045,0.02779675100326918
ReverseQueue,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-ReverseQueue-20260214-235311.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.005586592684267089,0.03788605169393122,0.03229945900966413,0.000698323997615565,0.0050202422733621925,0.004321918275746628,0.027977540733917502
SiebDesEratosthenes,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-SiebDesEratosthenes-20260215-000634.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.0037037043657619506,0.030794071964919567,0.027090367599157616,0.0004629629711416783,0.0034096094420981164,0.002946646470956438,0.02414372112820118
SignChecker,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-SignChecker-20260215-002048.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.005181348242331296,0.030886466563970316,0.02570511832163902,0.0006476684350976333,0.00456614253350278,0.003918474098405147,0.021786644223233873
SmallGauss,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-SmallGauss-20260215-003207.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.0086956528830342,0.054981441326830804,0.046285788443796605,0.0010869564418195903,0.0073711332599404955,0.006284176818120905,0.0400016116256757
SumArray,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-SumArray-20260215-004431.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.007092199171893299,0.056348088736740465,0.049255889564847166,0.0008865247770396915,0.006370725389125202,0.005484200612085511,0.04377168895276165
Vehicle,/home/cs/x/xxr230000/eyetracking/steering/head_masks/step4-l2-ast-b0p1-Vehicle-20260215-005749.json,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,ast,16,768,0.004878049512626603,0.030156108365190448,0.025278058852563845,0.0006097560963098658,0.004248756767283683,0.003639000670973817,0.021639058181590027
